"Paragraf, Hovedområde, Aktivitetsområde, Hovedkonto, Underkonto";"2002";"2003";"2004";"2005";"2006";"2007" 
"063605 Globale Miljøprogrammer "; 136,9; 145,5; 185,5; 190,5; 235,5; 255,5
"06360510 FN's Miljøprogram (UNEP) "; 15,5; 15,5; 15,5; 15,5; 15,5; 15,5
"06360511 Den Globale Miljøfacilitet (GEF) "; 65,2; 75,0; 65,2; 65,2; 70,0; 70,0
"06360512 Øvrige miljøbidrag "; 56,2; 55,0; 104,8; 109,8; 150,0; 170,0
"063606 FN, øvrige bistandsprogrammer "; 246,5; 314,8; 289,7; 221,1; 219,8; 219,8
"06360610 FN's organisation for industriel udv. (UNIDO)"; 14,2; 10,0; 5,3; 5,0; 5,0; 5,0
"06360611 FN's Sudan-Sahel Kontor (UNSO) "; -10,0; 0,0; 0,0; 0,0; 0,0; 0,0
"06360613 FN's arbejdsorganisation (ILO) "; 20,0; 40,0; 20,0; 20,0; 20,0; 20,0
"06360614 FN's org. for kultur og undervisning (UNESCO)"; 10,0; 10,0; 5,0; 5,0; 5,0; 5,0
"06360616 Multilaterale rådgivere "; 100,4; 110,0; 80,0; 85,0; 85,0; 85,0
"06360618 Firmarådgivere "; 2,1; 2,0; 2,0; 2,0; 2,0; 2,0
"06360619 FN-forbundet i Danmark "; 0,9; 1,2; 1,2; 1,2; 1,2; 1,2
"06360620 Internationalt Handelscenter (ITC) "; 9,9; 0,0; 0,0; 0,0; 0,0; 0,0
"06360621 FN's Fredsbevarende operationer "; 99,0; 140,0; 175,1; 100,0; 100,0; 100,0
"06360622 Den Fælles Råvarefond (CFC) "; 0,0; 1,6; 1,1; 2,9; 1,6; 1,6
"0637 Udviklingsbanker, -fonde og EU "; 1263,0; 1168,6; 1231,4; 1270,1; 1250,1; 1300,1
"063701 Verdensbankgruppen "; 525,5; 437,5; 553,5; 530,0; 510,0; 560,0
"06370110 Verdensbanken (IBRD) "; 70,3; 60,0; 137,0; 60,0; 60,0; 60,0
"06370111 Den internationale Udviklingssammenslu. (IDA)"; 400,0; 350,0; 400,0; 420,0; 420,0; 420,0
"06370112 Valutafondens Strukturprogram (PRGF) "; 21,1; 11,5; 0,0; 25,0; 0,0; 50,0
"06370113 Den internationale finansieringsinsti. (IFC) "; 5,0; 10,0; 10,0; 10,0; 15,0; 15,0
"06370114 Bistand til Mellemøsten gennem IBRD "; 29,0; 6,0; 6,5; 15,0; 15,0; 15,0
"063702 Regionale udviklingsbanker "; 34,1; 54,1; 33,7; 45,1; 45,1; 45,1
"06370210 Den afrikanske Udviklingsbank (AfDB) "; 14,5; 17,5; 12,0; 17,5; 17,5; 17,5
"06370211 Den asiatiske Udviklingsbank (AsDB) "; 12,4; 20,0; 11,0; 15,0; 15,0; 15,0
"06370212 Den interamerikanske Udviklingsbank (IDB) "; 7,2; 16,6; 10,7; 12,6; 12,6; 12,6
"063703 Regionale udviklingsfonde og øvrige fonde "; 470,3; 347,0; 271,9; 325,0; 325,0; 325,0
"06370310 Den afrikanske Udviklingsfond (AfDF) "; 275,0; 200,0; 133,4; 175,0; 175,0; 175,0
"06370311 Den asiatiske Udviklingsfond (AsDF) "; 93,5; 47,0; 46,7; 50,0; 50,0; 50,0
"06370313 Den nordiske Udviklingsfond (NDF) "; 101,8; 100,0; 91,8; 100,0; 100,0; 100,0
"063704 Bistand gennem Den europæiske Union (EU) "; 233,1; 330,0; 372,3; 370,0; 370,0; 370,0
"06370410 Den europæiske Udviklingsfond (EUF) "; 233,1; 330,0; 372,5; 370,0; 370,0; 370,0
"06370411 EU-lån til Tyrkiet "; 0,0; 0,0; -0,2; 0,0; 0,0; 0,0
"0638 Multilateral bistand til øvrige indsatser "; 273,4; 260,9; 314,5; 319,0; 309,0; 289,0
"063801 Multilateral regional- og overgangsbistand "; 173,0; 148,0; 163,4; 135,0; 125,0; 90,0
"06380110 Multilateral regionalbistand "; 103,0; 98,0; 98,4; 95,0; 85,0; 50,0
"06380111 Multilateral overgangsbistand "; 70,1; 50,0; 65,0; 40,0; 40,0; 40,0
"063802 Indsatser vedr. stabilitet og sikkerhed "; 0,0; 0,0; 40,0; 80,0; 80,0; 90,0
"06380211 Konfliktforebyggelse "; 0,0; 0,0; 35,0; 75,0; 75,0; 85,0
"06380212 Narkotika og Kriminalitet "; 0,0; 0,0; 5,0; 5,0; 5,0; 5,0
"063803 Diverse multilaterale bidrag "; 100,3; 112,9; 111,1; 104,0; 104,0; 109,0
"06380310 Diverse multilaterale bidrag "; 39,9; 46,9; 13,6; 13,0; 13,0; 13,0
"06380320 Støtte til Internationale Menneskerettigheder"; 48,8; 38,0; 51,0; 38,0; 38,0; 43,0
"06380325 Støtte t. multilaterale aktivi. handel og udv"; 9,9; 25,0; 45,0; 50,0; 50,0; 50,0
"06380330 Multilaterale kurser,seminarer og konferencer"; 1,7; 3,0; 1,5; 3,0; 3,0; 3,0
"0639 Humanitær bistand "; 790,0; 797,0; 885,6; 871,0; 901,0; 911,0
"063901 Humanitære organisationer "; 227,1; 242,0; 242,0; 252,0; 272,0; 277,0
"06390110 FN's Flygtningehøjkommissær (UNHCR) "; 125,0; 125,0; 125,0; 125,0; 140,0; 145,0
"06390111 FN's org. for Palæstinaflygtninge (UNRWA) "; 50,2; 50,0; 50,0; 60,0; 60,0; 60,0
"06390112 FN's Humanitære Koordinationskontor (OCHA) "; 10,0; 10,0; 10,0; 10,0; 10,0; 10,0
"06390113 Humanitær fødevarebistand (WFP) "; 14,9; 30,0; 30,0; 30,0; 35,0; 35,0
"06390114 Den internationale Røde Kors Komite (ICRC) "; 12,0; 12,0; 12,0; 12,0; 12,0; 12,0
"06390115 FNs Højkommissær for Menneskerettigheder "; 15,0; 15,0; 15,0; 15,0; 15,0; 15,0
