"Paragraf, Hovedområde, Aktivitetsområde, Hovedkonto, Underkonto";"2003";"2004";"2005";"2006";"2007";"2008" 
"06350111 Forskningsvirksomhed "; 99,6; 96,7; 72,7; 96,7; 96,7; 96,7
"06350112 Institut for Internationale Studier "; 18,3; 0,0; 0,0; 0,0; 0,0; 0,0
"06350113 Oplysningsvirksomhed "; 39,4; 35,0; 39,0; 37,0; 37,0; 37,0
"06350114 Kulturelt samarbejde "; 23,6; 14,0; 14,0; 14,0; 14,0; 14,0
"06350115 Udredningsvirksomhed "; 7,9; 8,6; 7,3; 10,6; 10,6; 10,6
"06350117 Seminarer, kurser, konferencer m.v. "; 2,9; 4,0; 4,0; 4,0; 4,0; 4,0
"06350118 Evaluering "; 0,0; 0,0; 12,5; 20,0; 20,0; 20,0
"063502 International udviklingsforskning "; 79,3; 68,0; 50,0; 50,0; 50,0; 50,0
"06350210 International landbrugsforskning (CGIAR) "; 55,9; 45,0; 35,0; 35,0; 35,0; 35,0
"06350211 Anden international udviklingsforskning "; 23,3; 23,0; 15,0; 15,0; 15,0; 15,0
"0636 Multilateral bistand gennem FN "; 1646,7; 1704,9; 1884,9; 1791,3; 1811,3; 1831,3
"063601 UNDP "; 448,5; 438,6; 414,8; 426,0; 426,0; 426,0
"06360110 FN's Udviklingsprogram (UNDP) "; 370,0; 370,0; 367,4; 370,0; 370,0; 370,0
"06360111 Kapitaludviklingsfonden (UNCDF) "; 25,0; 20,0; 0,0; 0,0; 0,0; 0,0
"06360112 FN's Udviklingsfond for Kvinder (UNIFEM) "; 5,0; 5,0; 5,0; 5,0; 5,0; 5,0
"06360113 Bidrag til UNDP-trustfonde "; 15,1; 20,0; 10,0; 20,0; 20,0; 20,0
"06360114 FN-center i København "; 33,3; 23,6; 32,4; 31,0; 31,0; 31,0
"063602 De Forenede Nationers Børnefond (UNICEF) "; 192,9; 195,0; 226,9; 195,0; 195,0; 195,0
"06360210 Generelt bidrag til UNICEF "; 180,0; 180,0; 200,0; 180,0; 180,0; 180,0
"06360211 UNICEF's lagerfaciliteter i København "; 12,9; 15,0; 26,9; 15,0; 15,0; 15,0
"063603 HIV/AIDS, Befolknings- og Sundhedsprogrammer "; 387,7; 450,0; 495,0; 475,0; 475,0; 475,0
"06360310 FN's Befolkningsfond (UNFPA) "; 170,0; 180,0; 180,0; 180,0; 180,0; 180,0
"06360311 Den intern. Sammensl. f. Familieplanlægning "; 50,0; 40,0; 40,0; 40,0; 40,0; 40,0
"06360312 Verdenssundhedsorganisationen WHO's særprogr."; 40,0; 40,0; 40,0; 40,0; 40,0; 40,0
"06360314 FN's Aids-bekæmpelsesprogram (UNAIDS) "; 25,0; 30,0; 35,0; 40,0; 40,0; 40,0
"06360315 Øvrige bidrag til befolknings- og sundhedspr."; 17,7; 60,0; 60,0; 60,0; 60,0; 60,0
"06360316 Den Globale Fond "; 85,0; 100,0; 140,0; 115,0; 115,0; 115,0
"063604 FN's landbrug m.v. "; 227,1; 214,0; 246,3; 210,0; 210,0; 210,0
"06360410 FN's Verdensfødevareprogram (WFP) "; 160,0; 160,0; 160,7; 160,0; 160,0; 160,0
"06360411 FN's Landbrugsudviklingsfond (IFAD) "; 67,1; 54,0; 85,6; 50,0; 50,0; 50,0
"063605 Globale Miljøprogrammer "; 145,2; 185,5; 220,5; 265,5; 285,5; 305,5
"06360510 FN's Miljøprogram (UNEP) "; 15,4; 15,5; 31,0; 15,5; 15,5; 15,5
"06360511 Den Globale Miljøfacilitet (GEF) "; 65,2; 65,2; 65,2; 70,0; 70,0; 70,0
"06360512 Øvrige miljøbidrag "; 64,6; 104,8; 124,3; 180,0; 200,0; 220,0
