"Paragraf, Hovedområde, Aktivitetsområde, Hovedkonto, Underkonto";"2011";"2012";"2013";"2014";"2015";"2016" 
"113101 Direktoratet for Kriminalforsorgen "; 0,0; 0,0; 19,8; 22,7; 26,1; 28,6
"11310110 Almindelig virksomhed "; 0,0; 0,0; 19,8; 22,7; 26,1; 28,6
"113103 Kriminalforsorgen i anstalter og frihed "; 0,0; 0,0; 329,7; 381,4; 455,0; 478,2
"11310310 Almindelig virksomhed "; 0,0; 0,0; 329,7; 381,4; 455,0; 478,2
"114 Retsvæsenet "; 0,0; 0,0; 7,5; 13,6; 11,8; 11,8
"1141 Fællesudgifter "; 0,0; 0,0; 4,5; 7,5; 5,7; 5,7
"114101 Domstolsstyrelsen "; 0,0; 0,0; 0,4; 0,0; 0,0; 0,0
"11410110 Almindelig virksomhed "; 0,0; 0,0; 0,4; 0,0; 0,0; 0,0
"114102 Retterne "; 0,0; 0,0; 4,1; 7,5; 5,7; 5,7
"11410210 Almindelig virksomhed "; 0,0; 0,0; 4,1; 7,5; 5,7; 5,7
"1142 Sagsudgifter "; 0,0; 0,0; 3,0; 6,1; 6,1; 6,1
"114201 Sagsgodtgørelser mv. "; 0,0; 0,0; 3,0; 6,1; 6,1; 6,1
"11420110 Sagsgodtgørelser mv. "; 0,0; 0,0; 3,0; 6,1; 6,1; 6,1
"115 Udlændinge "; 0,0; 0,0; 496,3; 279,1; 273,8; 273,8
"1151 Udgifter vedrørende udlændinge "; 0,0; 0,0; 496,3; 279,1; 273,8; 273,8
"115101 Udlændingestyrelsen "; 0,0; 0,0; 24,8; 27,3; 22,0; 22,0
"11510110 Almindelig virksomhed "; 0,0; 0,0; 4,6; 8,4; 3,1; 3,1
"11510150 Udflytning "; 0,0; 0,0; 20,2; 18,9; 18,9; 18,9
"115120 Drift og tilpasning af indkvarteringssystemet "; 0,0; 0,0; 58,2; -9,9; -9,9; -9,9
"11512010 Husleje og ejendomsudgifter "; 0,0; 0,0; 19,3; 0,0; 0,0; 0,0
"11512020 Bygningsmæssig drift og vedligeholdelse mv. "; 0,0; 0,0; 6,3; 0,0; 0,0; 0,0
"11512030 Øvr. driftudg. vedr. drift af indkv.systemet "; 0,0; 0,0; 32,4; 0,0; 0,0; 0,0
"11512060 Diverse indtægter og udgifter "; 0,0; 0,0; 0,2; 0,2; 0,2; 0,2
"11512070 Besparelser i centersystemet "; 0,0; 0,0; 0,0; -10,1; -10,1; -10,1
"115121 Kontante ydelser mv. til asylansøgere m.fl. "; 0,0; 0,0; 41,0; 0,0; 0,0; 0,0
"11512110 Grundydelser til asylansøgere "; 0,0; 0,0; 20,6; 0,0; 0,0; 0,0
"11512120 Forsørgertillæg til asylansøgere "; 0,0; 0,0; 7,1; 0,0; 0,0; 0,0
"11512130 Tillægsydelser til asylansøgere "; 0,0; 0,0; 10,9; 0,0; 0,0; 0,0
"11512140 Naturalieydelser til asylansøgere "; 0,0; 0,0; 0,2; 0,0; 0,0; 0,0
"11512150 Naturalieydelser i modtagesystemet "; 0,0; 0,0; 2,2; 0,0; 0,0; 0,0
"115122 Indkvartering og underhold af asylansøgere "; 0,0; 0,0; 138,5; 0,0; 0,0; 0,0
"11512210 Opholdscentre "; 0,0; 0,0; 57,3; 0,0; 0,0; 0,0
"11512220 Omsorgscentre "; 0,0; 0,0; 0,1; 0,0; 0,0; 0,0
"11512230 Modtage-/udrejsecentre "; 0,0; 0,0; 57,0; 0,0; 0,0; 0,0
"11512240 Børnecentre "; 0,0; 0,0; -12,9; 0,0; 0,0; 0,0
"11512250 Fremrykket danskundervisning "; 0,0; 0,0; 3,0; 0,0; 0,0; 0,0
"11512260 Særlige social- og sundhedsydelser "; 0,0; 0,0; 33,4; 0,0; 0,0; 0,0
"11512270 Ledsagede uledsagede mindreårige "; 0,0; 0,0; 0,6; 0,0; 0,0; 0,0
"115126 Udflytning fra asylcentre "; 0,0; 0,0; 218,8; 246,5; 246,5; 246,5
"11512610 Udflytning fra asylcentre "; 0,0; 0,0; 117,9; 140,9; 140,9; 140,9
"11512620 Styrkede undervisnings- og aktiveringstilbud "; 0,0; 0,0; 30,7; 30,7; 30,7; 30,7
"11512630 Styrkede tilbud til børne- og ungegruppen "; 0,0; 0,0; 24,3; 26,3; 26,3; 26,3
"11512640 Styrket rådgivning "; 0,0; 0,0; 15,5; 18,2; 18,2; 18,2
"11512650 Mere målrettet indkvartering af asylansøgere "; 0,0; 0,0; 30,4; 30,4; 30,4; 30,4
"115179 Reserve vedr. flygtninge og indvandrere "; 0,0; 0,0; 15,0; 15,2; 15,2; 15,2
"11517930 Nedbringelse af sagsbehandlingstider "; 0,0; 0,0; 15,0; 15,2; 15,2; 15,2
"12 Forsvarsministeriet "; 0,0; 0,0; -392,9; 301,7; 93,2; -6,8
"121 Fællesudgifter "; 0,0; 0,0; -19,5; -29,0; -28,8; -28,8
"1211 Centralstyrelsen "; 0,0; 0,0; -19,5; -29,0; -28,8; -28,8
"121101 Departementet "; 0,0; 0,0; -15,7; -15,3; -15,1; -15,1
"12110130 Projektenhed for cybersikkerhed "; 0,0; 0,0; -15,7; -15,3; -15,1; -15,1
"121179 Reserver og budgetregulering "; 0,0; 0,0; -3,8; -13,7; -13,7; -13,7
"12117950 Effektiviseringer af beredskab "; 0,0; 0,0; -3,8; -13,7; -13,7; -13,7
"122 Militært forsvar "; 0,0; 0,0; -366,8; 332,5; 123,6; 23,6
"1221 Forsvarskommandoen og Hjemmeværnet "; 0,0; 0,0; -366,8; 332,5; 123,6; 23,6
"122101 Forsvarskommandoen "; 0,0; 0,0; -401,3; 298,4; 89,7; -10,3
"12210110 Almindelig virksomhed "; 0,0; 0,0; -401,3; 298,4; 89,7; -10,3
"122109 Isafgifter fra skibe og havne "; 0,0; 0,0; 18,8; 18,8; 18,8; 18,8
"12210910 Isafgifter fra skibe og havne "; 0,0; 0,0; 18,8; 18,8; 18,8; 18,8
"122120 Forsvarets Efterretningstjeneste "; 0,0; 0,0; 15,7; 15,3; 15,1; 15,1
"12212010 Almindelig virksomhed "; 0,0; 0,0; 15,7; 15,3; 15,1; 15,1
"124 Redningsberedskab "; 0,0; 0,0; -6,6; -1,8; -1,6; -1,6
"1241 Redningsberedskab "; 0,0; 0,0; -6,6; -1,8; -1,6; -1,6
"124101 Redningsberedskabet "; 0,0; 0,0; -10,8; -6,5; -6,3; -6,3
"12410110 Almindelig virksomhed "; 0,0; 0,0; -9,4; -5,1; -4,9; -4,9
"12410170 Afgifter og gebyrer "; 0,0; 0,0; -1,4; -1,4; -1,4; -1,4
"124103 Beredskabsforbundet "; 0,0; 0,0; 4,2; 4,7; 4,7; 4,7
"12410310 Beredskabsforbundet, løn "; 0,0; 0,0; 1,5; 1,5; 1,5; 1,5
"12410320 Beredskabsforbundet, øvrige driftsudgifter "; 0,0; 0,0; 2,7; 3,2; 3,2; 3,2
"14 Ministeriet for By, Bolig og Landdistrikter "; 0,0; 0,0; -77,1; 202,1; 184,9; 184,9
"141 Fællesudgifter "; 0,0; 0,0; 5,3; 7,0; 7,0; 7,0
"1411 Centralstyrelsen "; 0,0; 0,0; 5,3; 7,0; 7,0; 7,0
"141102 Ejendomsoplysninger mv. "; 0,0; 0,0; -1,7; 0,0; 0,0; 0,0
"14110220 Administration af Ledningsejerregistret "; 0,0; 0,0; -1,7; 0,0; 0,0; 0,0
"141104 DIADEM "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"14110410 DIADEM "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"141179 Reserver og budgetregulering "; 0,0; 0,0; 7,0; 7,0; 7,0; 7,0
"14117920 Det kommunale lov- og cirkulæreprogram "; 0,0; 0,0; 7,0; 7,0; 7,0; 7,0
"145 Støtte til boligbyggeri, byfornyelse og bolig "; 0,0; 0,0; -83,0; 195,1; 177,9; 177,9
"1451 Alment boligbyggeri "; 0,0; 0,0; -92,1; 186,0; 168,8; 168,8
"145101 Ydelsesstøtte til almene boliger "; 0,0; 0,0; -202,7; 227,3; 227,3; 227,3
"14510145 Ydelsesst. til almene boliger, eft. 1/7 2009 "; 0,0; 0,0; -205,0; 225,0; 225,0; 225,0
"14510150 Ydelsesstøtte til renovering "; 0,0; 0,0; -2,8; -2,8; -2,8; -2,8
